название;тип;адрес;телефон;сайт
Академия профессионального развития;Дополнительное образование, курсы и мастер-классы, центр повышения квалификации;просп. Мира, 3, стр. 3, Москва;+7 (495) 646-01-87;www.apr.center
ФГБОУ ДПО институт развития профессионального образования;Центр повышения квалификации, дополнительное образование;Большая Грузинская ул., 12, стр. 2, Москва;+7 (495) 114-55-21;firpo.ru
Учебный центр Армо;Учебный центр, центр повышения квалификации, дополнительное образование;Большая Новодмитровская ул., 14, стр. 2, Москва;+7 (909) 169-18-45;www.armo-training.ru
Университет Бизнеса № 1;Центр повышения квалификации, курсы и мастер-классы, дополнительное образование;ул. Бутырский Вал, 10, Москва;+7 (999) 333-12-97;ub1.ru
Центр дополнительного профессионального образования № 1;Обучение мастеров для салонов красоты, курсы и мастер-классы;Шарикоподшипниковская ул., 22, Москва;+7 (967) 118-18-21;www.департаментобразования.рф
УЦ Специалист;Учебный центр, дополнительное образование, автошкола;Силикатная ул., 16Г, стр. 1, Мытищи;+7 (495) 780-17-17;www.gims-gtn.ru
Полицент;Дополнительное образование, клуб для детей и подростков, курсы и мастер-классы;Красноармейская ул., 4, Москва;+7 (499) 490-48-45;polycent.ru
Инжинириум МГТУ им. Н. Э. Баумана;Курсы и мастер-классы, компьютерные курсы, дополнительное образование;Госпитальный пер., 4-6с1, Москва;+7 (495) 120-99-75;inginirium.ru
Хок Тренинг;Учебный центр, видеопроизводство, центр повышения квалификации;Филипповский пер., 8, стр. 1, Москва;+7 (495) 432-00-80;www.hocktraining.com
Учебный центр дистанционного обучения удаленным профессиям 100по100;Дополнительное образование, учебный центр, бизнес-школа;Малая Пироговская ул., 8, Москва;+7 (495) 118-23-08;100po100.video
Нетология;Учебный центр, центр повышения квалификации, дополнительное образование;Варшавское ш., 1, стр. 6, Москва;8 (800) 301-39-69;netolo.gy
НОЧУ ДПО Мосдор;Учебный центр, центр повышения квалификации, дополнительное образование;ул. Артюхиной, 6, корп. 1, Москва;+7 (499) 179-39-41;www.ukkmosdor.ru
IQ center;Дополнительное образование, курсы и мастер-классы, компьютерные курсы;Южнопортовая ул., 5, стр. 1, Москва;+7 (495) 023-59-69;iq.center
Международная школа Дизайна;Дополнительное образование, курсы и мастер-классы, школа искусств;ул. Шаболовка, 31Г, Москва;+7 (499) 707-07-06;designschool.ru
Курсы массажа Андрея Мартынова;Курсы и мастер-классы, центр повышения квалификации, учебный центр;Кронштадтский бул., 7А, Москва;+7 (499) 391-44-61;kursy-massazha-v-moskve.ru
Pitman Training;Курсы иностранных языков, центр повышения квалификации, дополнительное образование;Усачёва ул., 62, стр. 1, Москва;+7 (985) 533-00-80;pitman-training.ru
Учебный центр Амулет;Учебный центр, центр повышения квалификации, безопасность труда;Монтажная ул., 3, Москва;+7 (495) 978-40-23;9784023.ru
Лига барменов России;Курсы и мастер-классы, дополнительное образование, учебный центр;Большая Почтовая ул., 36, стр. 10, Москва;+7 (926) 907-87-58;ligabar.ru
Школа программирования Elbrus Coding Bootcamp;Компьютерные курсы, курсы и мастер-классы, дополнительное образование;ул. Орджоникидзе, 11, стр. 10, Москва;+7 (499) 325-37-25;elbrusboot.camp
Kids Mba;Бизнес-школа, курсы и мастер-классы, дополнительное образование;Неглинная ул., 29, стр. 3, Москва;8 (800) 551-14-07;kids-mba.ru
Институт Холодильных Систем и Пищевых Производств;Центр повышения квалификации;ул. Костякова, 12, стр. 2, Москва;+7 (495) 610-36-01;hladin.ru
Школа Ресторанного Сервиса Service For HoReCa;Курсы и мастер-классы, учебный центр, тренинги;ул. Сущёвский Вал, 5, стр. 2, Москва;+7 (915) 897-34-56;serviceforhoreca.ru
Специалист при МГТУ им. Баумана;Учебный центр, компьютерные курсы, бухгалтерские курсы;ул. Радио, 24, корп. 1, Москва;+7 (495) 640-48-54;www.specialist.ru
Академия профессиональных стандартов;Дополнительное образование;Измайловское ш., 71к4Г-Д, Москва;8 (800) 333-64-82;dpoaps.ru
Первый ветеринарный институт им. В. Н. Митина;Дополнительное образование, учебный центр;ул. Маршала Катукова, 22, корп. 2, Москва;+7 (495) 798-46-08;www.eduvet.ru
Учебный центр Karl Storz;Курсы и мастер-классы, центр повышения квалификации, дополнительное образование, медицинские изделия и расходные материалы;Дербеневская наб., 7, стр. 4, Москва;+7 (495) 987-37-19;www.endotraining.ru
Институт массажа и косметологии;Дополнительное образование, обучение мастеров для салонов красоты, центр повышения квалификации;ул. Земляной Вал, 54, стр. 1, Москва;+7 (495) 364-08-67;massage-cosmetology.ru
Geekz;Дополнительное образование, ВУЗ;Большая Садовая ул., 5, корп. 1, Москва;+7 (931) 009-32-42;geekz.ru
Курсы ЕГЭ Годограф;Учебный центр, дополнительное образование, услуги репетиторов;Дегтярный пер., 6, стр. 1, Москва;+7 (499) 955-48-23;godege.ru
Образовательный Стандарт - Многопрофильный консалтинговый центр;Учебный центр, центр повышения квалификации, дополнительное образование;ул. Ленинская Слобода, 26, стр. 5, Москва;+7 (495) 120-31-32;ostandart.ru
Государственное бюджетное образовательное учреждение города Москвы дополнительного профессионального образования повышение квалификации специалистов;Дополнительное образование, управление образованием, центр повышения квалификации;Воронцовская ул., 6А, стр. 1, Москва;+7 (495) 912-63-37;mosmetod.ru
Авиашкола Аэрофлота;Центр повышения квалификации;Мишина ул., 56, стр. 2, Москва;+7 (495) 981-55-20;www.avb.ru
Государственные Центральные Курсы иностранных языков Ин-яз;Курсы иностранных языков, дополнительное образование, учебный центр;ул. Можайский Вал, 2, Москва;+7 (499) 240-22-65;goscourses.elearn.ru
Джельсомино;Центр развития ребёнка, курсы и мастер-классы, дополнительное образование;Шелепихинская наб., 22, Москва;+7 (966) 262-49-92;dzhelsomino.ru
Центр Повышения Квалификации;Центр повышения квалификации, дополнительное образование, учебный центр;Бауманская ул., 43/1с1, Москва;+7 (495) 374-92-87;msk-medical.ru
Академия Медицинского Образования;Дополнительное образование, центр повышения квалификации;Газетный пер., 3/5с1, Москва;+7 (495) 481-48-15;medobr.com
Гасис Учебный центр ТаксМастерс;Центр повышения квалификации, бухгалтерские курсы;Трифоновская ул., 57, стр. 2, Москва;+7 (910) 406-44-22;www.taxmasters.ru
Центр профессионального развития Профи-карьера;Учебный центр, центр повышения квалификации, дополнительное образование;Воронцовская ул., 35Б, корп. 1, Москва;+7 (495) 150-18-17;www.seminarna.ru
Школа парикмахерского искусства Кристины Быковой;Обучение мастеров для салонов красоты, курсы и мастер-классы, дополнительное образование;просп. Мира, 102, стр. 34, Москва;+7 (965) 160-86-20;kristinabykova.ru
УКЦ Панорама;Учебный центр, центр повышения квалификации, бухгалтерские курсы;1-я Брестская ул., 66, Москва;+7 (495) 502-23-99;gaapsoft.ru
Fast Lane;Компьютерные курсы, центр повышения квалификации, бизнес-школа;ул. Плеханова, 4А, Москва;+7 (495) 668-11-94;www.flane.ru
АНО ДО Учебно-тренажерный центр Курс;Учебный центр, центр повышения квалификации, судостроение, судоремонт;Береговой пр., вл7с1, село Беседы;+7 (495) 790-25-01;tc-cours.ru
iQ-центр;Услуги репетиторов, курсы и мастер-классы, дополнительное образование;Можайское ш., 100А, Одинцово;+7 (968) 580-40-75;iq-centr.ru
Институт Психологии и Психоанализа;Дополнительное образование, центр повышения квалификации;Чистопрудный бул., 21, Москва;+7 (495) 625-59-70;psychic.ru
Центр Электробезопасности;Дополнительное образование, центр повышения квалификации, учебный центр;Варшавское ш., 125Ж, корп. 6, Москва;+7 (495) 220-84-56;центр-электробезопасности.рф
ЕГЭ-Центр;Дополнительное образование, учебный центр, услуги репетиторов;Мясницкая ул., 40, стр. 1, Москва;+7 (901) 256-68-03;ege-tsentr.ru
ФГАОУ ДПО Государственный институт новых форм обучения;Дополнительное образование, центр повышения квалификации;Автозаводская ул., 16, стр. 5, Москва;+7 (929) 519-37-44;ginfo-edu.org
Институт профессиональных бухгалтеров и аудиторов России;Бухгалтерские курсы, дополнительное образование;Тверская ул., 22Б, стр. 3, Москва;8 (800) 500-54-51;www.ipbr.org
Столичный институт иностранных языков;Учебный центр, курсы иностранных языков, центр повышения квалификации, дополнительное образование;Мясницкая ул., 7, стр. 11, Москва;+7 (495) 623-10-35;ooosiija.wixsite.com
Центр Эфдизайн;Курсы и мастер-классы, учебный центр;Большая Грузинская ул., 32, стр. 1, Москва;+7 (499) 254-10-94;www.efdesign.ru
Курсы фитнеса Анатомия;Курсы и мастер-классы, центр повышения квалификации, учебный центр;ул. Новый Арбат, 21, Москва;+7 (977) 755-09-61;anatomy-fitness.ru
Учебный центр РЭУ им. Г. В. Плеханова МПТ;Дополнительное образование, центр повышения квалификации, техникум;Нахимовский просп., 21, Москва;+7 (903) 105-90-17;ucmpt.ru
Академия успеха Макарофф;Учебный центр, курсы и мастер-классы, обучение мастеров для салонов красоты;Марксистская ул., 34, корп. 5, Москва;+7 (901) 147-96-83;akademiyauspeha.ru
Start School;Курсы иностранных языков, курсы и мастер-классы, учебный центр;Смольная ул., 24Б, Москва;+7 (495) 233-52-92;startschool-msk.ru
Мцпс;Центр повышения квалификации, курсы и мастер-классы, тренинги;Ленинский просп., 15, Москва;+7 (499) 350-50-89;icpp.pro
Учебный центр;Компьютерные курсы, курсы и мастер-классы, обучение мастеров для салонов красоты, бухгалтерские курсы;Лесная ул., 39, Москва;+7 (495) 961-33-48;edu-line.ru
Литературные курсы Воронцова;Курсы и мастер-классы, центр повышения квалификации, дополнительное образование;ул. Арбат, 20, Москва;+7 (978) 900-75-93;zachalo.ru
Институт деловой карьеры;ВУЗ, дополнительное образование;Нижегородская ул., 32, стр. 5, Москва;8 (800) 600-49-95;www.ideka.ru
Международный институт менеджмента объединений предпринимателей ТПП РФ;Дополнительное образование, центр повышения квалификации, учебный центр, бизнес-школа, бухгалтерские курсы;Чистопрудный бул., 5, Москва;+7 (495) 134-34-71;www.iimba.ru
Московская школа управления Сколково;Бизнес-школа, центр повышения квалификации, дополнительное образование;Новая ул., 100, д. Сколково;+7 (495) 539-30-03;www.skolkovo.ru
Российский экономический университет им. Г. В. Плеханова;ВУЗ;Стремянный пер., 36, Москва;+7 (495) 958-28-31;www.rea.ru
Школа Сотрудничества;Частная школа, дополнительное образование;ул. Александра Солженицына, 9А, Москва;+7 (495) 911-99-91;www.cooperation.ru
Университет Синергия;ВУЗ, центр повышения квалификации, колледж;Ленинградский просп., 80, корп. Г, Москва;+7 (495) 004-08-94;universitysynergy.ru
Институт дополнительного профессионального образования работников социальной сферы;Центр повышения квалификации, дополнительное образование, учебный центр;1-й Басманный пер., 10, Москва;+7 (495) 607-50-65;soc-education.ru
Деловой учебный центр;Центр повышения квалификации, дополнительное образование;ул. Петра Романова, 7, стр. 1, Москва;+7 (495) 970-07-33;dycpro.ru
Институт профессионального образования;Дополнительное образование, центр повышения квалификации, ВУЗ;Дербеневская наб., 11, Москва;8 (800) 555-12-94;ipo.msk.ru
Московская высшая школа экономики;Дополнительное образование, центр повышения квалификации, бухгалтерские курсы;Воронцовская ул., 21, стр. 1, Москва;+7 (910) 404-08-03;mos-extern.ru
Российская академия народного хозяйства и государственной службы;ВУЗ;просп. Вернадского, 84, стр. 1, Москва;+7 (499) 956-99-99;ranepa.ru
Московский архитектурный институт;ВУЗ;ул. Рождественка, 11, стр. 2, Москва;+7 (495) 625-50-82;marhi.ru
Государственное бюджетное профессиональное образовательное учреждение города Москвы Московский колледж бизнес-технологий;Колледж, дополнительное образование;ул. Пресненский Вал, 15, стр. 1, Москва;+7 (499) 253-59-31;cbcol.mskobr.ru
Российский университет транспорта;ВУЗ;ул. Образцова, 9, стр. 9, Москва;+7 (495) 260-23-32;www.miit.ru
Торгово-промышленная палата Российской Федерации;Торгово-промышленная палата, общественная организация, ассоциации и промышленные союзы;ул. Ильинка, 5/2, Москва;+7 (495) 620-00-09;www.tpprf.ru
МГПУ, Испо им. К. Д. Ушинского, колледж Измайлово;ВУЗ;Измайловский бул., 19, Москва;+7 (499) 163-00-71;www.mgpu.ru
РЭУ им. Плеханова, Экономический лицей;Лицей, гимназия;ул. Зацепа, 41, корп. 4, Москва;+7 (495) 280-03-67;www.rea.ru
Автономная некоммерческая организация дополнительного профессионального образования Учебный центр Информзащита;Учебный центр, центр повышения квалификации, информационная безопасность;ул. Образцова, 38, стр. 1, Москва;+7 (495) 980-23-45 (доб. 04);itsecurity.ru
Moscow Business School;Дополнительное образование, курсы и мастер-классы, бизнес-школа;Ленинский просп., 38А, Москва;+7 (495) 414-39-23;mbschool.ru
Московский гуманитарный университет;ВУЗ;ул. Юности, 5, Москва;+7 (499) 374-51-51;mosgu.ru
Московский центр качества образования;Управление образованием, дополнительное образование;Семёновская площадь, 4, Москва;+7 (499) 638-23-52;mcko.ru
Институт профессиональной переподготовки;Дополнительное образование, центр повышения квалификации, ВУЗ;Дмитровское ш., 60, Москва;+7 (495) 768-03-05;professional-education.ru
Специалист при МГТУ им. Баумана;Учебный центр, курсы и мастер-классы, компьютерные курсы;Бауманская ул., 6, стр. 2, Москва;+7 (495) 232-32-16;www.specialist.ru
ГБПОУ Ок Юго-Запад;Колледж, детский сад, ясли, общеобразовательная школа;ул. Дмитрия Ульянова, 26, корп. 1, Москва;+7 (499) 124-36-59;spo39.mskobr.ru
